学校基本調査＞初等中等教育機関・専修学校・各種学校《報告書掲載集計》＞卒業後の状況調査＞中等教育学校＞後期課程の都道府県別大学・短期大学等への進学者数＞計＞計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年度,西暦,全国,北海道,青森,岩手,宮城,秋田,山形,福島,茨城,栃木,群馬,埼玉,千葉,東京,神奈川,新潟,富山,石川,福井,山梨,長野,岐阜,静岡,愛知,三重,滋賀,京都,大阪,兵庫,奈良,和歌山,鳥取,島根,岡山,広島,山口,徳島,香川,愛媛,高知,福岡,佐賀,長崎,熊本,大分,宮崎,鹿児島,沖縄
令和3年3月,2021 ,4172 ,178 ,－,－,106 ,－,－,－,343 ,78 ,227 ,－,－,951 ,464 ,419 ,－,－,－,－,57 ,－,－,75 ,－,17 ,－,63 ,161 ,127 ,－,－,－,149 ,100 ,64 ,－,－,493 ,－,70 ,－,－,－,－,30 ,－,－
令和2年3月,2020 ,4199 ,165 ,－,－,124 ,－,－,－,316 ,84 ,215 ,－,－,915 ,468 ,470 ,－,－,－,－,61 ,－,－,80 ,－,28 ,－,75 ,161 ,132 ,－,－,－,152 ,89 ,68 ,－,－,505 ,－,61 ,－,－,－,－,30 ,－,－
平成31年3月,2019 ,4074 ,155 ,－,－,114 ,－,－,－,305 ,83 ,222 ,－,－,892 ,452 ,444 ,－,－,－,－,50 ,－,－,70 ,－,25 ,－,92 ,186 ,133 ,－,－,－,143 ,－,83 ,－,－,514 ,－,80 ,－,－,－,－,31 ,－,－
平成30年3月,2018 ,3917 ,128 ,－,－,128 ,－,－,－,233 ,54 ,209 ,－,－,889 ,495 ,456 ,－,－,－,－,46 ,－,－,66 ,－,13 ,－,75 ,165 ,127 ,－,－,－,159 ,－,71 ,－,－,499 ,－,79 ,－,－,－,－,25 ,－,－
平成29年3月,2017 ,3937 ,56 ,－,－,125 ,－,－,－,235 ,83 ,208 ,－,－,910 ,501 ,462 ,－,－,－,－,52 ,－,－,57 ,－,－,－,92 ,147 ,176 ,－,－,－,146 ,－,64 ,－,－,527 ,－,67 ,－,－,－,－,29 ,－,－
平成28年3月,2016 ,3966 ,52 ,－,－,121 ,－,－,－,244 ,82 ,216 ,－,－,928 ,541 ,475 ,－,－,－,－,65 ,－,－,34 ,－,－,－,103 ,138 ,148 ,－,－,－,154 ,－,75 ,－,－,492 ,－,75 ,－,－,－,－,23 ,－,－
平成27年3月,2015 ,3595 ,60 ,－,－,115 ,－,－,－,261 ,88 ,198 ,－,－,676 ,568 ,461 ,－,－,－,－,－,－,－,57 ,－,－,－,94 ,161 ,179 ,－,－,－,21 ,－,69 ,－,－,496 ,－,60 ,－,－,－,－,31 ,－,－
平成26年3月,2014 ,3041 ,45 ,－,－,134 ,－,－,－,250 ,98 ,113 ,－,－,637 ,325 ,382 ,－,－,－,－,－,－,－,64 ,－,－,－,95 ,51 ,163 ,－,－,－,25 ,－,70 ,－,－,494 ,－,65 ,－,－,－,－,30 ,－,－
平成25年3月,2013 ,2590 ,48 ,－,－,128 ,－,－,－,87 ,－,103 ,－,－,535 ,325 ,321 ,－,－,－,－,－,－,－,59 ,－,－,－,92 ,51 ,135 ,－,－,－,31 ,－,75 ,－,－,513 ,－,60 ,－,－,－,－,27 ,－,－
平成24年3月,2012 ,2329 ,55 ,－,－,124 ,－,－,－,92 ,－,121 ,－,－,364 ,259 ,237 ,－,－,－,－,－,－,－,63 ,－,－,－,128 ,56 ,144 ,－,－,－,23 ,－,70 ,－,－,495 ,－,68 ,－,－,－,－,30 ,－,－
平成23年3月,2011 ,1882 ,49 ,－,－,48 ,－,－,－,131 ,－,131 ,－,－,151 ,240 ,171 ,－,－,－,－,－,－,－,－,－,－,－,117 ,61 ,129 ,－,－,－,－,－,62 ,－,－,505 ,－,57 ,－,－,－,－,30 ,－,－
平成22年3月,2010 ,1694 ,54 ,－,－,42 ,－,－,－,88 ,－,127 ,－,－,176 ,185 ,125 ,－,－,－,－,－,－,－,－,－,－,－,105 ,52 ,134 ,－,－,－,－,－,59 ,－,－,463 ,－,56 ,－,－,－,－,28 ,－,－
平成21年3月,2009 ,1296 ,－,－,－,38 ,－,－,－,68 ,－,16 ,－,－,70 ,178 ,122 ,－,－,－,－,－,－,－,－,－,－,－,114 ,39 ,113 ,－,－,－,－,－,45 ,－,－,463 ,－,－,－,－,－,－,30 ,－,－
平成20年3月,2008 ,669 ,－,－,－,40 ,－,－,－,－,－,24 ,－,－,69 ,144 ,57 ,－,－,－,－,－,－,－,－,－,－,－,89 ,－,87 ,－,－,－,－,－,53 ,－,－,77 ,－,－,－,－,－,－,29 ,－,－
