学校基本調査＞初等中等教育機関・専修学校・各種学校《報告書掲載集計》＞卒業後の状況調査＞高等学校＞全日制・定時制＞都道府県別大学・短期大学等への進学者数＞計＞計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年度,西暦,全国,北海道,青森,岩手,宮城,秋田,山形,福島,茨城,栃木,群馬,埼玉,千葉,東京,神奈川,新潟,富山,石川,福井,山梨,長野,岐阜,静岡,愛知,三重,滋賀,京都,大阪,兵庫,奈良,和歌山,鳥取,島根,岡山,広島,山口,徳島,香川,愛媛,高知,福岡,佐賀,長崎,熊本,大分,宮崎,鹿児島,沖縄
令和3年3月,2021 ,580550 ,18908 ,5330 ,4698 ,9744 ,3559 ,4355 ,7539 ,12833 ,9045 ,8798 ,33440 ,28068 ,68292 ,41218 ,8395 ,4775 ,5711 ,4220 ,4536 ,9132 ,10065 ,16854 ,37186 ,7949 ,7190 ,15399 ,45229 ,28285 ,6909 ,4305 ,2185 ,2765 ,9103 ,13887 ,4643 ,3328 ,4658 ,5696 ,2948 ,22173 ,3453 ,5519 ,6964 ,4754 ,4460 ,6298 ,5749 
令和2年3月,2020 ,578341 ,19075 ,5276 ,4913 ,9592 ,3513 ,4515 ,7544 ,12667 ,8962 ,8981 ,33130 ,27030 ,66737 ,40003 ,8867 ,5087 ,5879 ,4133 ,4497 ,9091 ,9980 ,16998 ,37368 ,7862 ,7201 ,15283 ,44873 ,28046 ,6982 ,4368 ,2182 ,2683 ,8936 ,14262 ,4899 ,3318 ,4602 ,5734 ,3170 ,22540 ,3477 ,5610 ,6923 ,4861 ,4507 ,6269 ,5915 
平成31年3月,2019 ,574308 ,18579 ,5302 ,4882 ,9657 ,3604 ,4390 ,7721 ,12729 ,9066 ,8661 ,32731 ,26975 ,66248 ,40427 ,8698 ,4819 ,5732 ,4012 ,4444 ,8779 ,10027 ,16728 ,37374 ,7804 ,6946 ,15308 ,44029 ,27943 ,6805 ,4232 ,2122 ,2778 ,9150 ,14092 ,4728 ,3312 ,4474 ,5780 ,3026 ,22512 ,3573 ,5578 ,7228 ,4724 ,4505 ,6322 ,5752 
平成30年3月,2018 ,578041 ,18577 ,5498 ,4976 ,9719 ,3769 ,4501 ,7862 ,12974 ,8999 ,8863 ,32572 ,27381 ,65863 ,40406 ,8763 ,4770 ,5702 ,4183 ,4770 ,8996 ,10121 ,17176 ,37655 ,7937 ,6940 ,15201 ,44653 ,28086 ,6972 ,4201 ,2166 ,2828 ,8760 ,14085 ,4976 ,3259 ,4491 ,5961 ,3033 ,22231 ,3598 ,5738 ,7217 ,4826 ,4592 ,6405 ,5789 
平成29年3月,2017 ,585184 ,18902 ,5389 ,5036 ,9755 ,3858 ,4566 ,8039 ,12784 ,9066 ,8905 ,32989 ,27466 ,67455 ,40703 ,8799 ,4760 ,5739 ,4227 ,4685 ,9094 ,10279 ,17364 ,37728 ,8252 ,7206 ,15547 ,45292 ,28651 ,7082 ,4388 ,2064 ,2771 ,9002 ,14442 ,4920 ,3422 ,4475 ,6047 ,2878 ,23020 ,3563 ,5673 ,7336 ,4772 ,4644 ,6375 ,5774 
平成28年3月,2016 ,579738 ,18567 ,5344 ,5033 ,9693 ,3879 ,4577 ,7950 ,12888 ,9137 ,8980 ,32513 ,27451 ,66778 ,40157 ,9091 ,4762 ,5578 ,4119 ,4844 ,9245 ,9941 ,17007 ,37350 ,8057 ,6958 ,15161 ,45013 ,28026 ,7046 ,4410 ,2130 ,2780 ,8863 ,14069 ,4821 ,3272 ,4317 ,6049 ,2929 ,22836 ,3552 ,5757 ,7256 ,4798 ,4804 ,6370 ,5580 
平成27年3月,2015 ,579938 ,18455 ,5522 ,4993 ,9671 ,3953 ,4794 ,7901 ,12699 ,9099 ,9087 ,32684 ,27214 ,67207 ,39856 ,9285 ,4870 ,5603 ,4147 ,4877 ,9081 ,10357 ,17450 ,37139 ,8237 ,6865 ,15249 ,43896 ,27886 ,7152 ,4333 ,2121 ,2862 ,8936 ,14263 ,4944 ,3188 ,4226 ,5959 ,2954 ,22797 ,3581 ,5334 ,7253 ,4943 ,4670 ,6417 ,5928 
平成26年3月,2014 ,563268 ,17927 ,5386 ,5037 ,9499 ,4040 ,4715 ,8015 ,12402 ,8840 ,8740 ,31192 ,25665 ,65088 ,38526 ,9200 ,4712 ,5464 ,3998 ,4942 ,9034 ,10143 ,16838 ,35861 ,8130 ,6745 ,14599 ,41669 ,27196 ,6791 ,4419 ,2056 ,2910 ,8727 ,14016 ,4748 ,3341 ,4223 ,5853 ,2865 ,22129 ,3476 ,5733 ,7196 ,4737 ,4620 ,6302 ,5523 
平成25年3月,2013 ,578554 ,18276 ,5520 ,5089 ,9718 ,4200 ,4957 ,8262 ,12905 ,9557 ,9032 ,32484 ,26403 ,66451 ,38874 ,9559 ,5003 ,5670 ,4107 ,5185 ,9484 ,10206 ,17786 ,36553 ,8352 ,7137 ,15069 ,41805 ,27567 ,7164 ,4457 ,2317 ,2939 ,9028 ,14553 ,4893 ,3362 ,4241 ,6119 ,2979 ,22244 ,3558 ,5901 ,7248 ,5007 ,4795 ,6815 ,5723 
平成24年3月,2012 ,563450 ,18023 ,5462 ,5081 ,9159 ,4251 ,5028 ,8235 ,13099 ,9257 ,8888 ,31408 ,25359 ,64761 ,37226 ,9658 ,4683 ,5418 ,4119 ,4907 ,9260 ,9853 ,17297 ,35471 ,8338 ,6918 ,14754 ,39863 ,26749 ,7003 ,4385 ,2292 ,3071 ,8849 ,14267 ,4887 ,3303 ,3983 ,6016 ,3014 ,21802 ,3488 ,6012 ,7026 ,4859 ,4586 ,6595 ,5487 
平成23年3月,2011 ,571797 ,18880 ,5561 ,5248 ,9348 ,4365 ,5215 ,8351 ,13280 ,9679 ,8921 ,30912 ,25200 ,63681 ,36729 ,9814 ,4837 ,5636 ,4236 ,5085 ,9618 ,10557 ,17233 ,35464 ,8548 ,7067 ,14898 ,40897 ,27288 ,7072 ,4689 ,2399 ,3001 ,9220 ,14577 ,5053 ,3595 ,4269 ,6411 ,3063 ,22482 ,3697 ,6148 ,7170 ,5059 ,4685 ,7145 ,5514 
平成22年3月,2010 ,580578 ,19397 ,5879 ,5299 ,10069 ,4538 ,5376 ,9043 ,13689 ,10146 ,9344 ,31062 ,25710 ,63553 ,37642 ,10432 ,4989 ,5663 ,4337 ,5158 ,9608 ,10291 ,18103 ,35576 ,8569 ,7123 ,14869 ,40098 ,27788 ,7219 ,4715 ,2467 ,3335 ,9336 ,14627 ,5156 ,3681 ,4360 ,6352 ,3013 ,22725 ,3818 ,6265 ,7288 ,5146 ,4881 ,7157 ,5686 
平成21年3月,2009 ,573037 ,19546 ,5673 ,5391 ,9702 ,4401 ,5432 ,8778 ,13602 ,9984 ,9175 ,29910 ,25453 ,62499 ,36123 ,10574 ,4867 ,5659 ,4417 ,5160 ,9802 ,10325 ,17826 ,34833 ,8564 ,7317 ,14775 ,38987 ,27405 ,7125 ,4927 ,2505 ,3254 ,9251 ,14717 ,5179 ,3822 ,4318 ,6417 ,3010 ,22253 ,3937 ,6134 ,7097 ,5277 ,4800 ,7347 ,5487 
平成20年3月,2008 ,574990 ,19447 ,5846 ,5331 ,9832 ,4569 ,5474 ,8882 ,13931 ,10177 ,9280 ,29764 ,24721 ,61582 ,35853 ,11064 ,5091 ,5775 ,4550 ,5047 ,10078 ,10531 ,17854 ,34835 ,8703 ,7044 ,14786 ,38571 ,27629 ,6943 ,4890 ,2493 ,3221 ,9341 ,15151 ,5341 ,3824 ,4533 ,7018 ,2972 ,22608 ,3857 ,6244 ,7155 ,5316 ,4877 ,7312 ,5647 
